,abv,brewery,style_name,name,location,description,organic,id,type
0, 11.40%,Bellwoods Brewery, Russian Imperial Stout ,Bring Out Your Dead,Ontario,NaN,NaN,NaN,Micro Brewery
1, 12.00%,Bellwoods Brewery, American Imperial Stout ,Skeleton Key,Ontario,NaN,NaN,NaN,Micro Brewery
2, 6.50%,Great Lakes Brewery, American IPA ,Great Lakes Thrust! An IPA,Ontario,NaN,NaN,NaN,Micro Brewery
3, 7.90%,Bellwoods Brewery, American Wild Ale ,Grandma's Boy Wild Ale,Ontario,NaN,NaN,NaN,Micro Brewery
4, 6.60%,Great Lakes Brewery, American IPA ,Great Lakes Karma Citra IPA,Ontario,NaN,NaN,NaN,Micro Brewery
5, 10.00%,Bellwoods Brewery, Russian Imperial Stout ,3 Minutes To Midnight,Ontario,NaN,NaN,NaN,Micro Brewery
6, 14.50%,Nickel Brook Brewing, Co.American Imperial Stout ,Café Del Bastardo,Ontario,NaN,NaN,NaN,Micro Brewery
7, 6.70%,Bellwoods Brewery, Belgian Saison ,Farmageddon - Niagara Montmorency Cherry,Ontario,NaN,NaN,NaN,Micro Brewery
8, 5.60%,Bellwoods Brewery, American Pale Ale (A PA) ,Jutsu,Ontario,NaN,NaN,NaN,Micro Brewery
9, 10.00%,Flying Monkeys Craft Brewery, English Sweet / Milk Stout ,Flying Monkeys The Chocolate Manifesto,Ontario,NaN,NaN,NaN,Micro Brewery
10, 11.90%,Amsterdam Brewing, Company American Imperial Stout ,Amsterdam Barrel Aged Double Tempest,Ontario,NaN,NaN,NaN,Micro Brewery
11, 10.00%,Bellwoods Brewery, Russian Imperial Stout ,Hellwoods,Ontario,NaN,NaN,NaN,Micro Brewery
12, 6.20%,Great Lakes Brewery, American IPA ,Great Lakes Octopus Wants To Fight IPA,Ontario,NaN,NaN,NaN,Micro Brewery
13, 11.50%,Collective Arts Brewing, American Imperial Stout ,Collective Arts / Donut Monster - Origin of Darkness,Ontario,NaN,NaN,NaN,Micro Brewery
14, 9.00%,Bellwoods Brewery, American Imperial IPA ,Witchshark,Ontario,NaN,NaN,NaN,Micro Brewery
15, 6.10%,Collective Arts Brewing, New England IPA ,Life in the Clouds,Ontario,NaN,NaN,NaN,Micro Brewery
16, 6.80%,Collective Arts Brewing, American IPA ,Ransack the Universe - Hemisphere IPA,Ontario,NaN,NaN,NaN,Micro Brewery
17, 8.00%,Left Field Brewery, American Imperial IPA ,Left Field Laser Show,Ontario,NaN,NaN,NaN,Micro Brewery
18, 5.60%,Bellwoods Brewery, American Wild Ale ,Jelly King,Ontario,NaN,NaN,NaN,Micro Brewery
19, 8.00%,Black Oak Brewing, Co.American Imperial IPA ,Black Oak Ten Bitter Years,Ontario,NaN,NaN,NaN,Micro Brewery
20, 7.00%,Great Lakes Brewery, American IPA ,Great Lakes Lake Effect,Ontario,NaN,NaN,NaN,Micro Brewery
21, 8.00%,Bellwoods Brewery, American Imperial IPA ,Boogie Monster,Ontario,NaN,NaN,NaN,Micro Brewery
22, 5.20%,Collective Arts Brewing, American Wild Ale ,Jam up the Mash,Ontario,NaN,NaN,NaN,Micro Brewery
23, 6.40%,Bellwoods Brewery, American Pale Ale (A PA) ,Monogamy - Nelson Sauvin,Ontario,NaN,NaN,NaN,Micro Brewery
24, 7.10%,Collective Arts Brewing, American IPA ,Collective Project: IPA No. 7,Ontario,NaN,NaN,NaN,Micro Brewery
25, 6.50%,Beyond the Pale Brewing, Company American IPA ,Aromatherapy IPA,Ontario,NaN,NaN,NaN,Micro Brewery
26, 11.00%,Bellwoods Brewery, Belgian Quadrupel (Quad) ,Lambda,Ontario,NaN,NaN,NaN,Micro Brewery
27, 6.70%,Bellwoods Brewery, American IPA ,Runes - Double Dry-Hopped With Mosaic And Citra Lupulin Powder,Ontario,NaN,NaN,NaN,Micro Brewery
28, 14.50%,Nickel Brook Brewing, Co.Russian Imperial Stout ,Old Kentucky Bastard,Ontario,NaN,NaN,NaN,Micro Brewery
