,abv,brewery,type,name
0, 11.40%,Bellwoods Brewery, Russian Imperial Stout ,Bring Out Your Dead
1, 12.00%,Bellwoods Brewery, American Imperial Stout ,Skeleton Key
2, 6.50%,Great Lakes Brewery, American I PA ,Great Lakes Thrust! An IPA
3, 7.90%,Bellwoods Brewery, American Wild Ale ,Grandma's Boy Wild Ale
4, 6.60%,Great Lakes Brewery, American I PA ,Great Lakes Karma Citra IPA
5, 10.00%,Bellwoods Brewery, Russian Imperial Stout ,3 Minutes To Midnight
6, 14.50%,Nickel Brook Brewing, Co.American Imperial Stout ,Café Del Bastardo
7, 6.70%,Bellwoods Brewery, Belgian Saison ,Farmageddon - Niagara Montmorency Cherry
8, 5.60%,Bellwoods Brewery, American Pale Ale (A PA) ,Jutsu
9, 10.00%,Flying Monkeys Craft Brewery, English Sweet / Milk Stout ,Flying Monkeys The Chocolate Manifesto
10, 11.90%,Amsterdam Brewing, Company American Imperial Stout ,Amsterdam Barrel Aged Double Tempest
11, 10.00%,Bellwoods Brewery, Russian Imperial Stout ,Hellwoods
12, 6.20%,Great Lakes Brewery, American I PA ,Great Lakes Octopus Wants To Fight IPA
13, 11.50%,Collective Arts Brewing, American Imperial Stout ,Collective Arts / Donut Monster - Origin of Darkness
14, 9.00%,Bellwoods Brewery, American Imperial I PA ,Witchshark
15, 6.10%,Collective Arts Brewing, New England I PA ,Life in the Clouds
16, 6.80%,Collective Arts Brewing, American I PA ,Ransack the Universe - Hemisphere IPA
17, 8.00%,Left Field Brewery, American Imperial I PA ,Left Field Laser Show
18, 5.60%,Bellwoods Brewery, American Wild Ale ,Jelly King
19, 8.00%,Black Oak Brewing, Co.American Imperial I PA ,Black Oak Ten Bitter Years
20, 7.00%,Great Lakes Brewery, American I PA ,Great Lakes Lake Effect
21, 8.00%,Bellwoods Brewery, American Imperial I PA ,Boogie Monster
22, 5.20%,Collective Arts Brewing, American Wild Ale ,Jam up the Mash
23, 6.40%,Bellwoods Brewery, American Pale Ale (A PA) ,Monogamy - Nelson Sauvin
24, 7.10%,Collective Arts Brewing, American I PA ,Collective Project: IPA No. 7
25, 6.50%,Beyond the Pale Brewing, Company American I PA ,Aromatherapy IPA
26, 11.00%,Bellwoods Brewery, Belgian Quadrupel (Quad) ,Lambda
27, 6.70%,Bellwoods Brewery, American I PA ,Runes - Double Dry-Hopped With Mosaic And Citra Lupulin Powder
28, 14.50%,Nickel Brook Brewing, Co.Russian Imperial Stout ,Old Kentucky Bastard
29, 6.80%,Bellwoods Brewery, American I PA ,Roman Candle
30, 8.00%,Collective Arts Brewing, American Imperial I PA ,Collective Project: IPA No. 8
