,brewery,name,abv,style_name,location,description,type,organic,id
0,Beau's All Natural Brewing Company,Beau's Lugtread,5,Kolsch,Ontario,NaN,Micro Brewery,NaN,NaN
1,Grupo Modelo,Corona,4.5,American Light Lager,Mexico,NaN,Macro Brewery,NaN,NaN
2,Coors Brewing Company,Coors Light,4.2,American Light Lager,Colorado,NaN,Macro Brewery,NaN,NaN
3,Heineken,Heineken Lager,5,American Premium Lager,Amsterdam,NaN,Macro Brewery,NaN,NaN
4,Brasserie Dieu De Ciel!,Peche Mortel,9.5,American Imperial Stout,Quebec,NaN,Micro Brewery,NaN,NaN
5,Brouwerij Rodenbach,"Rodenbach Grand Cru,",6,Flanders Red,Belgium,NaN,Macro Brewery,NaN,NaN
6,Brasserie D'Achouffe,La Chouffe,8,Belgian Strong Ale,Belgium,NaN,Macro Brewery,NaN,NaN
7,Side Launch Brewing Company,Side Launch Wheat,5.3,Hefeweisen,Ontario,NaN,Micro Brewery,NaN,NaN
8,Sierra Nevada Brewing Co.,Pale Ale,5.6,APA,California,NaN,Micro Brewery,NaN,NaN
9,Sawdust City Brewing Co.,Little Norway,4.5,Pale Lager,Ontario,NaN,Micro Brewery,NaN,NaN
10,Sawdust City Brewing Co.,Skinny Dippin' Stout,5.5,Oatmean Stout,Ontario,NaN,Micro Brewery,NaN,NaN
11,Sawdust City Brewing Co.,Long Dark Voyage to Uranus,8.5,Imperial Stout,Ontario,NaN,Micro Brewery,NaN,NaN
12,Sawdust City Brewing Co.,Lone Pine,6.5,West Coast IPA,Ontario,NaN,Micro Brewery,NaN,NaN
13,Sawdust City Brewing Co.,Golden Beach,9.0,Hazy Pale Ale,Ontario,NaN,Micro Brewery,NaN,NaN
14,Sawdust City Brewing Co.,Gateway Kolsh,4.5,Kolsch,Ontario,NaN,Micro Brewery,NaN,NaN
15,Sawdust City Brewing Co.,Juicin,5,New England IPA,Ontario,NaN,Micro Brewery,NaN,NaN
16,Sawdust City Brewing Co.,Princess Wears Girl Pants,6,Belgian Strong Ale,Ontario,NaN,Micro Brewery,NaN,NaN
17,Redline Brewhouse,Clutch,4.8,APA,Ontario,NaN,Micro Brewery,NaN,NaN
18,Guiness,Guinness,4.2,Stout,Ireland,Y,Macro Brewery,NaN,NaN
19,Blue Moon Brewing Company,Blue Moon,5.4,Beligan Wit,Colorado,NaN,Macro Brewery,NaN,NaN
20,Mill Street Brewery,Original Organic,4.2,American Lager,Ontario,NaN,Micro Brewery,NaN,NaN
21,Alexander Keiths,Red Amber Ale,5,Amber,Nova Scotia,NaN,Macro Brewery,NaN,NaN
22,Woodhouse Brewing Co.,Woodhouse Lager,5,Lager,Ontario,NaN,Micro Brewery,NaN,NaN
23,Brouwerij Artois,Stella Artois,5.2,Pilsener,Belgium,NaN,Macro Brewery,NaN,NaN
24,Brewery Ommegang,Ommegang Pale Sour,6.9,Pale Sour,New York,NaN,Micro Brewery,NaN,NaN
25,The Collingwood Brewery,Rockwell,4.6,Pilsener,Ontario,NaN,Micro Brewery,NaN,NaN
26,McAuslan Brewing,St. Ambroise Oatmeal Stout,5,Oatmeal Stout,Quebec,NaN,Micro Brewery,NaN,NaN
27,Rainhard Brewing Co.,Armed N' Citra,5.2,Pale Ale,Ontario,NaN,Micro Brewery,NaN,NaN
28,Rainhard Brewing Co.,Kapow! IPA,6.5,IPA,Ontario,NaN,Micro Brewery,NaN,NaN
29,High Road Brewing,Cloud Piercer,4.5,New Zealand Pale Ale,Ontario,NaN,Micro Brewery,NaN,NaN
30,A l'abri de la Tempête,Corne de Brume,9,Scottish-Style Light Ale,Quebec,"Scottish light ales are light bodied. Little bitterness is perceived, and hop flavor or aroma should not be perceived. Despite its lightness, Scottish light ale will have a degree of malty, caramel-like, soft and chewy character. Yeast characters such as diacetyl (butterscotch) and sulfuriness are acceptable at very low levels. The color will range from golden amber to deep brown Bottled versions of this traditional draft beer may contain higher amounts of carbon dioxide than is typical for mildly carbonated draft versions. Chill haze is acceptable at low temperatures. Though there is little evidence suggesting that traditionally made Scottishstyle light ales exhibited peat smoke character, the current marketplace offers many Scottish-style light ales with peat or smoke character present at low to medium levels. Thus a peaty/smoky character may be evident at low levels (ales with medium or higher smoke character would be considered a smoke flavored beer and considered in another category). Scottish-style light ales may be split into two subcategories: Traditional (no smoke character) and Peated (low level of peat smoke character).",Micro Brewery,N,ToV6d7
31,A l'abri de la Tempête,Corps Mort,11,American-Style Barley Wine Ale,Quebec,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",Micro Brewery,N,68DumY
32,A l'abri de la Tempête,Écume,4.8,American-Style Lager,Quebec,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",Micro Brewery,N,FB3UKF
33,A l'abri de la Tempête,Grave Du Cafe,4.2,American-Style Stout,Quebec,"Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",Micro Brewery,N,iRwivz
34,Ace Hill Brewing Company,Ace Hill Pilsner,4.9,German-Style Pilsener,Ontario,"A classic German Pilsener is very light straw or golden in color and well hopped. Perception of hop bitterness is medium to high. Noble-type hop aroma and flavor are moderate and quite obvious. It is a well-attenuated, medium-light bodied beer, but a malty residual sweetness can be perceived in aroma and flavor. Very low levels of sweet corn-like dimethylsulfide (DMS) character are below most beer drinkers' taste thresholds and are usually not detectable except to the trained or sensitive palate. Other fermentation or hop related sulfur compounds, when perceived at low levels, may be characteristic of this style. Fruity esters and diacetyl should not be perceived. There should be no chill haze. Its head should be dense and rich.",Micro Brewery,N,LfOyQM
35,Amsterdam Brewing,Amsterdam Barrel Aged Double Tempest, 11.90%, Company American Imperial Stout ,Ontario,NaN,Micro Brewery,NaN,NaN
36,Amsterdam Brewing,Amsterdam / Great Lakes Life Sentence, 10.50%, Company American Imperial IPA ,Ontario,NaN,Micro Brewery,NaN,NaN
