,user,beer,rating
29806,ANDREW,Nickel Brook Brewing Company: Head Stock,7.0
28897,ANDREW,Muskoka Brewery: Muskoka Harvest Ale,5.0
32937,ANDREW,Unibroue: Blanche de Chambly,7.0
1021,ANDREW,Brasserie Dieu De Ciel!: Peche Mortel,9.0
18898,ANDREW,Flying Monkeys Craft Brewery: Hoptical Illusion,6.0
8091,ANDREW,Bellwoods Brewery: Milkshark - Pineapple,8.0
7990,ANDREW,Bellwoods Brewery: Roman Candle,8.0
3344,ANDREW,Rainhard Brewing Co.: Kapow! IPA,8.0
22736,ANDREW,Indie Ale House Brewing: Cock Puncher,6.0
8293,ANDREW,Bellwoods Brewery: Witchshark,8.0
28998,ANDREW,Nickel Brook Brewing: Old Kentucky Bastard,9.0
4657,ANDREW,Amsterdam Brewing Company: Boneshaker,6.0
920,ANDREW,Guiness: Guinness,10.0
12939,ANDREW,Brewery Ommegang: Hennepin,9.0
1122,ANDREW,Sierra Nevada Brewing Co.: Pale Ale,7.0
30614,ANDREW,Redline Brewhouse: Double Clutch,9.0
22231,ANDREW,Hop City Brewing Co.: Barking Squirrel Lager,5.0
4960,ANDREW,Amsterdam Brewing Company: Big Wheel Deluxe Amber,5.0
25766,ANDREW,Left Field Brewery: Greenwood,8.0
3142,ANDREW,McAuslan Brewing: St. Ambroise Oatmeal Stout,7.0
17383,ANDREW,Collective Arts Brewing: Ransack the Universe - Hemisphere IPA,7.0
1324,ANDREW,Sawdust City Brewing Co.: Juicin,7.0
28695,ANDREW,Molson Breweries of Canada: Carling,5.0
7788,ANDREW,Bellwoods Brewery: Jelly King - Pink Guava,9.0
28796,ANDREW,Muskoka Brewery: Muskoka Twice As Mad Tom IPA,5.0
4859,ANDREW,Amsterdam Brewing Company: Framboise,4.0
3243,ANDREW,Rainhard Brewing Co.: Armed N' Citra,7.0
7889,ANDREW,Bellwoods Brewery: Double Jutsu,9.0
10818,ANDREW,Brasserie Dieu du Ciel!: Chemin de Croix,9.0
22332,ANDREW,Hop City Brewing Co.: Big Mouth Pale Ale,5.0
18797,ANDREW,Flying Monkeys Craft Brewery: 12 Minutes to Destiny,7.0
1223,ANDREW,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,6.0
4253,ANDREW,Amsterdam Brewing Company: All Natural Blonde,5.0
3647,ANDREW,Ace Hill Brewing Company: Ace Hill Pilsner,5.0
29402,ANDREW,Nickel Brook Brewing: Über - Raspberry,7.0
30109,ANDREW,Railway City Brewing Company: Black Coal Stout,8.0
19605,ANDREW,Glutenberg: Glutenberg Blonde,6.0
23140,ANDREW,Junction Craft Brewing: Engineers,6.0
8798,ANDREW,Bellwoods Brewery: 3 Minutes To Midnight,7.0
13343,ANDREW,Brickworks Ciderhouse: Batch: 1904,7.0
4152,ANDREW,Amsterdam Brewing Company: (416) Local Lager,5.0
314,ANDREW,Sawdust City Brewing Co.: Little Norway,8.0
19201,ANDREW,Flying Monkeys Craft Brewery: Flying Monkeys Acadian Groove Canadian Maple Porter,5.0
30008,ANDREW,Nickel Brook Brewing Company: Bolshevik Bastard,8.0
24251,ANDREW,Lagunitas Brewing Company: GnarlyWine,8.0
23241,ANDREW,Kensington Brewing Company: Augusta Ale,5.0
16070,ANDREW,Collective Arts Brewing: Rhyme & Reason,4.0
16676,ANDREW,Collective Arts Brewing: Dark Fruit Gose,8.0
415,ANDREW,Heineken: Heineken Lager,4.0
29301,ANDREW,Nickel Brook Brewing: Winey Bastard,8.0
15969,ANDREW,Collective Arts Brewing: Basil & Cranberry,7.0
19706,ANDREW,Glutenberg: Glutenberg American Pale Ale,7.0
718,ANDREW,Alexander Keiths: Red Amber Ale,7.0
8495,ANDREW,Bellwoods Brewery: Cat Lady - Double Dry-Hopped,8.0
18999,ANDREW,Flying Monkeys Craft Brewery: Flying Monkeys The Chocolate Manifesto,7.0
4556,ANDREW,Amsterdam Brewing Company: Cruiser All Day Pale Ale,6.0
3445,ANDREW,High Road Brewing: Cloud Piercer,8.0
8697,ANDREW,Bellwoods Brewery: Farmageddon - Niagara Montmorency Cherry,8.0
4455,ANDREW,Amsterdam Brewing Company: Downtown Brown,5.0
8596,ANDREW,Bellwoods Brewery: Jutsu,8.0
5061,ANDREW,Amsterdam Brewing Company: 3 Speed,5.0
22130,ANDREW,High Road Brewing: Bronan,10.0
5667,ANDREW,Beaus All Natural Brewing Company: Full Time IPA,6.0
27887,ANDREW,Mill Street Brewery: Big League IPA,6.0
31119,ANDREW,Sleeman Breweries Ltd.: Dark,4.0
2132,ANDREW,Sawdust City Brewing Co.: Long Dark Voyage to Uranus,7.0
